t	n	p	v	i
25	3	VDD_ROM8KX64_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	2,92E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	8,70E-02
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	1,03E-01
25	3	VDD_SPRAMB2KX18_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	1,30E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,62E+00	2,06E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,80E+00	2,52E-01
25	3	VDD!_SEP_SPRAMB2KX18MARCHCNEW_61560	1,98E+00	3,30E-01
25	3	VDDO_PAD_3_3V_IDDQ3V3_-8	4,50E+00	3,71E-03
25	3	VDDO_PAD_3_3V_IDDQ3V3_-8	5,00E+00	9,39E-03
25	3	VDDO_PAD_3_3V_IDDQ3V3_-8	5,50E+00	2,34E-02
25	3	VDDR_PAD_3_3V_IDDQ3V3_-8	4,50E+00	1,01E-04
25	3	VDDR_PAD_3_3V_IDDQ3V3_-8	5,00E+00	4,21E-04
25	3	VDDR_PAD_3_3V_IDDQ3V3_-8	5,50E+00	9,31E-04
25	3	Freq_PROCMONDCELLS	1,00E+00	NaN
25	3	Freq_PROCMONDCELLS	1,10E+00	NaN
25	3	Freq_PROCMONDCELLS	1,20E+00	NaN
25	3	Freq_PROCMONDCELLS	1,30E+00	3,22E+00
25	3	Freq_PROCMONDCELLS	1,40E+00	3,86E+00
25	3	Freq_PROCMONDCELLS	1,50E+00	4,50E+00
25	3	Freq_PROCMONDCELLS	1,60E+00	5,12E+00
25	3	Freq_PROCMONDCELLS	1,70E+00	5,73E+00
25	3	Freq_PROCMONDCELLS	1,80E+00	6,32E+00
25	3	Freq_PROCMONDCELLS	1,90E+00	6,88E+00
25	3	Freq_PROCMONDCELLS	2,00E+00	7,41E+00
25	3	Pulse1_PROCMONDCELLS	1,00E+00	NaN
25	3	Pulse1_PROCMONDCELLS	1,10E+00	NaN
25	3	Pulse1_PROCMONDCELLS	1,20E+00	4,65E+02
25	3	Pulse1_PROCMONDCELLS	1,30E+00	2,02E+02
25	3	Pulse1_PROCMONDCELLS	1,40E+00	1,61E+02
25	3	Pulse1_PROCMONDCELLS	1,50E+00	1,36E+02
25	3	Pulse1_PROCMONDCELLS	1,60E+00	1,18E+02
25	3	Pulse1_PROCMONDCELLS	1,70E+00	1,04E+02
25	3	Pulse1_PROCMONDCELLS	1,80E+00	9,36E+01
25	3	Pulse1_PROCMONDCELLS	1,90E+00	8,54E+01
25	3	Pulse1_PROCMONDCELLS	2,00E+00	7,81E+01
